distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
50.0,329,329,328,328,329,329,325,325,324,329,328,328,328,325,328,327,325,326,329,328,327,331,332,329,331,329,330,328,333,330,333,331,332,331,335,328,331,333,333,329,333,331,331,333,333,332,331,332,332,329,329,329,332,329,331,328,334,328,332,330,329,330,329,325,331,329,329,325,333,329,332,329,328,329,329,329,334,326,329,328,332,329,332,329,333,329,333,327,331,329,329,328,332,329,333,329,331,332,332,329,
50.16,333,329,328,329,331,329,329,332,332,331,332,331,333,329,333,332,331,330,332,329,329,330,329,332,335,333,331,328,333,333,328,331,333,332,333,329,330,329,329,331,332,330,332,333,331,333,332,329,332,333,330,328,328,329,333,329,330,329,329,331,329,329,329,329,333,329,329,330,331,330,329,328,329,329,331,332,333,328,329,333,329,328,325,329,331,333,331,329,329,331,329,330,328,329,329,332,330,329,332,330,
50.32,332,331,328,329,331,333,331,332,329,329,332,333,332,329,331,332,331,329,333,329,329,329,332,329,329,329,332,329,329,333,329,333,329,332,329,329,331,328,333,333,333,333,328,333,333,333,331,332,329,333,332,334,332,333,333,332,331,332,332,331,331,333,329,335,330,331,331,332,333,333,333,329,328,331,329,333,328,329,329,329,329,329,329,331,329,329,330,328,333,331,333,328,332,333,331,332,329,332,328,333,
50.48,329,333,328,333,333,332,329,332,333,335,333,334,334,333,333,333,329,336,329,330,332,335,332,333,329,328,328,329,332,334,332,331,333,331,335,332,333,332,333,337,332,332,332,332,331,329,331,333,332,333,331,331,328,332,331,329,330,332,333,333,325,335,328,332,329,329,331,333,329,333,328,332,328,333,329,329,329,328,329,330,329,331,332,333,331,329,332,333,329,332,329,333,332,333,329,329,328,332,329,331,
50.64,329,332,332,329,331,332,334,335,333,333,332,335,333,333,333,336,331,332,333,335,329,333,332,333,331,333,333,332,332,335,333,334,333,329,333,332,333,329,331,335,333,333,334,333,331,333,332,333,333,333,333,335,333,333,335,335,331,328,332,331,332,331,332,333,335,337,334,329,333,335,333,332,332,333,335,332,333,329,332,329,333,332,332,333,333,333,329,332,332,333,333,329,328,333,333,329,324,328,329,331,
50.8,332,329,328,332,329,329,329,325,329,328,329,328,326,329,329,329,328,329,329,328,329,331,328,329,331,329,327,328,329,331,329,326,328,329,329,324,328,329,327,328,328,330,329,328,328,328,328,328,329,329,328,329,329,329,327,328,328,329,328,329,328,328,328,329,328,328,328,325,329,325,325,325,324,327,331,329,330,332,333,333,331,333,331,333,330,329,331,333,333,331,333,329,333,329,331,332,331,332,336,331,
50.96,333,334,336,332,337,329,333,333,333,333,332,331,335,329,335,333,335,328,332,329,333,332,332,329,333,329,332,328,333,329,329,329,332,329,329,329,330,329,329,332,332,328,329,333,335,332,334,333,333,335,333,333,336,329,331,329,333,332,332,332,332,328,332,329,333,329,335,332,333,331,333,332,332,329,335,329,332,328,333,331,332,332,332,331,332,332,335,334,336,334,333,333,333,332,333,329,331,332,333,333,
51.12,333,331,332,333,332,332,331,333,333,333,333,334,329,328,333,332,333,332,332,333,332,331,332,329,335,332,330,332,333,333,332,333,332,333,331,332,333,332,333,335,333,333,329,332,333,329,329,332,331,335,333,330,332,332,333,333,328,329,333,333,329,330,329,333,331,329,332,332,333,333,329,331,332,333,335,331,335,329,333,335,336,330,330,333,333,329,332,329,333,331,329,329,329,329,328,329,329,329,332,331,
51.28,332,329,329,329,330,329,335,330,336,333,333,334,333,333,333,331,335,332,336,335,337,331,332,336,333,332,335,332,336,338,333,331,332,333,335,332,333,333,333,333,329,330,332,329,333,329,330,332,333,331,331,333,328,333,333,332,331,328,332,331,329,332,329,333,333,332,331,332,329,329,329,329,328,329,327,329,325,327,329,329,325,326,328,325,325,321,326,324,327,328,325,324,324,328,328,325,325,329,328,328,
51.44,327,329,326,332,329,331,328,332,331,330,328,330,332,331,331,332,330,332,329,331,332,330,329,333,331,329,328,328,329,333,325,329,325,329,325,325,328,329,325,329,325,331,324,329,329,329,331,328,329,328,328,329,324,329,329,329,328,330,327,331,329,329,324,329,328,329,328,328,329,329,325,328,328,328,329,328,331,333,329,333,329,330,328,333,331,333,330,333,329,332,328,334,332,332,331,333,331,332,332,333,
51.6,329,335,333,333,333,329,331,333,333,333,329,331,332,331,333,332,333,332,332,335,329,333,329,329,331,329,331,332,332,333,332,333,335,335,337,332,335,332,336,333,333,331,332,332,333,335,330,332,333,331,332,335,332,332,335,332,333,333,333,332,333,333,332,333,331,332,335,332,336,335,333,335,329,333,333,333,333,329,331,333,332,335,332,336,333,336,335,333,333,333,333,332,332,332,333,332,330,329,333,331,
